"Category","Share"
"EDF",21.94
"RWE",17.82
"Uniper",7.47
"Drax",6.98
"SSE",6.91
"EPH",5.17
"VPI Generation Ltd",4.47
"Orsted",3.7
"Intergen",3.5
"Triton Power",3.09
"Other",18.94
